,train_acc,val_acc,train_loss,val_loss
0,0.9581175804138183,0.9822847008705139,,
1,0.9861332565546036,0.9815741091966629,,
2,0.9913817048072815,0.9853047430515289,,
3,0.9941647589206696,0.9881741762161255,,
4,0.9954798966646194,0.9937254041433334,,
5,0.9968295007944107,0.9934850543737411,,
6,0.9975134164094925,0.9942531377077103,,
7,0.9988620549440383,0.9964062482118606,,
8,0.9975242644548417,0.9951079756021499,,
9,0.9979474455118179,0.9965132236480713,,
10,0.9581175804138183,0.9822847008705139,0.11421952433884144,0.04272466283291578
11,0.9861332565546036,0.9815741091966629,0.028484963346272707,0.0378983742557466
12,0.9913817048072815,0.9853047430515289,0.015954550728201865,0.030983904423192144
13,0.9941647589206696,0.9881741762161255,0.010949353151954711,0.024827133491635324
14,0.9954798966646194,0.9937254041433334,0.00863331297878176,0.012711202318314463
15,0.9968295007944107,0.9934850543737411,0.006260099314386025,0.016519301454536617
16,0.9975134164094925,0.9942531377077103,0.004873373813461512,0.011831508576869964
17,0.9988620549440383,0.9964062482118606,0.0025086305671720766,0.007599117280915379
18,0.9975242644548417,0.9951079756021499,0.005182419109041802,0.010629508207784966
19,0.9979474455118179,0.9965132236480713,0.004375447408528998,0.006899290904402733
